id,cin,company_name,status,roc,company_type,incorporation_date,email,website,address,source_url,content_hash,last_updated
1,AAE-6126,PACIFIC INFRABUILD LLP,Active,RoC-Delhi,Construction,2015-08-24,jainvarun23@hotmail.com,https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,"Farm No. 10, North Drive KH No. 733/2 DLF Chatarpur New Delhi South Delhi DL 110030 IN",https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,1d238a6da3659d35c54525977e9f8f26,2026-05-13 19:07:00
2,AAF-1027,AFFAIRS EVENT MANAGEMENT LLP,Active,RoC-Gwalior,Other Service activities,2015-10-28,apurvavohra9@gmail.com,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,P-1 Morya Palace 5/1 Diamond Colony New Palasia indore Indore MP 452001 IN,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,8b95db3abe1f028d3ecd150e47c1f7ae,2026-05-13 19:07:05
3,,Just a moment...,,,,,,,,https://www.zaubacorp.com/VIPANI-ONLINE-SHOPPING-PORTAL-LLP-AAF-8155,dbb9ef34bc13fd25d91d087ba2e522ec,2026-05-13 19:07:09
4,AAF-9145,ARMADILLO REALTY LLP,Active,RoC-Mumbai,Construction,2016-03-11,hsecretarial@rediffmail.com,https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,"514 Dalamal Towers, 211 FPJ Marg, Nariman Point, Mumbai MUMBAI Mumbai City MH 400021 IN",https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,96ddf280604769e686bf233909cd6ea2,2026-05-13 19:07:16
5,,Just a moment...,,,,,,,,https://www.zaubacorp.com/AJAY-AGGARWAL-PROPERTIES-LLP-AAG-0314,fe51855c569d222f405f72b947860714,2026-05-13 19:07:20
6,AAG-4170,BEFREE BUSINESS RESOURCING LLP,Active,RoC-Ahmedabad,Other Business Activities,2016-05-20,jigneshk@befree.com.au,https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,"SWASTIK COMPLEX, 21/22, 1ST FLOOR, TOWER CHOWK, S. T. ROAD, VERAVAL Junagadh GJ 362265 IN",https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,48b2434dafc62ad2cd8d6d060de8c40e,2026-05-13 19:07:25
7,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SIS-MERCHANTILE-INDIA-LLP-AAG-4211,8d93f1bac0551f733eb35c9e64755711,2026-05-13 19:07:29
8,AAG-4332,VIRAT PROMOTERS LLP,Active,RoC-Delhi,Real estate activities,2016-05-23,rakesh.k.gupta@hotmail.com,https://www.zaubacorp.com/VIRAT-PROMOTERS-LLP-AAG-4332,"A-68, New Friends Colony New Delhi South Delhi DL 110065 IN",https://www.zaubacorp.com/VIRAT-PROMOTERS-LLP-AAG-4332,71bafa09ec745c1cf122c23b51002ffd,2026-05-13 19:07:33
9,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SRI-KRISHNA-FREEHOLD-LLP-AAF-2865,715ec56c66f17417f461ab047385e31e,2026-05-13 19:07:37
10,AAF-1860,SOLSKEN ENERGY LLP,Active,RoC-Jaipur,"Electricity, Gas, Steam and Hot water supply",2015-11-19,akshchat17@gmail.com,https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,"ROOM NO. 101, PAHAL HOTEL C-4, RIICO INDUSTRIAL AREA BHIWADI Alwar RJ 301019 IN",https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,0c497bc8d3da3d4a614ad2a8686a58f0,2026-05-13 19:07:43
11,,Just a moment...,,,,,,,,https://www.zaubacorp.com/REINA-CONSULTING-LLP-AAE-9623,37dd776b0b52ee6713e1b3a5bf86890a,2026-05-13 19:07:47
12,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SAFARI-BIKES-PRIVATE-LIMITED-U35921PB1995PTC017379,2cd1c42e8abf3fcdb5c3a66200fe943e,2026-05-13 19:07:58
13,,Just a moment...,,,,,,,,https://www.zaubacorp.com/NCORE-TECHNOLOGY-PVT-LTD-U72200TG1990PTC011250,e39f8648d5d5b47b75ca809e7ea510af,2026-05-13 19:08:00
14,U74999PN2017PTC172044,AKHEALTH BUSINESS SOLUTION PRIVATE LIMITED,Strike Off,ROC Pune,,2017-08-16,ashish.coding@gmail.com,https://www.zaubacorp.com/AKHEALTH-BUSINESS-SOLUTION-PRIVATE-LIMITED-U74999PN2017PTC172044,"FL 3, SAI PALACE, WING P-1 S NO 150/A/12 BHUSARI COL   , PUNE, Maharashtra, India - 411038",https://www.zaubacorp.com/AKHEALTH-BUSINESS-SOLUTION-PRIVATE-LIMITED-U74999PN2017PTC172044,c4b984b31f0a8b2a6c0a152285676556,2026-05-13 19:08:04
15,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SUPREME-HEATREATERS-PVT-LTD-U99999MH1987PTC043205,a71e574be75def7d1a365815da1e5b46,2026-05-13 19:08:08
