id,cin,company_name,status,roc,company_type,incorporation_date,email,website,address,state,city,authorized_capital,paid_up_capital,company_category,company_subcategory,source_url,content_hash,last_updated
3,AAF-1027,AFFAIRS EVENT MANAGEMENT LLP,,RoC-Gwalior,93,2015-10-28,apurvavohra9@gmail.com,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,P-1 Morya Palace 5/1 Diamond Colony New Palasia indore Indore MP 452001 IN,Madhya Pradesh,Indore,,,,,https://www.zaubacorp.com/AFFAIRS-EVENT-MANAGEMENT-LLP-AAF-1027,4bb629196ecce160d170b31954c23e1a,2026-05-14 07:14:10
21,AAJ-4875,AGK BUILDCON LLP,,ROC Mumbai,45,2017-05-23,kathekar.rohanenterprises@gamil.com,https://www.zaubacorp.com/AGK-BUILDCON-LLP-AAJ-4875,"A – 1, Seva Co Op Housing society Ltd., New Link Road, Near Oshiwara , Jogeshwari (West),      Mumbai, Maharashtra, India - 400102",Maharashtra,-,,,,,https://www.zaubacorp.com/AGK-BUILDCON-LLP-AAJ-4875,c197f330bbda7c40585c4c882ab007f9,2026-05-14 07:21:16
6,AAG-0314,AJAY AGGARWAL PROPERTIES LLP,,RoC-Delhi,70,2016-03-22,dept2007@rediffmail.com,https://www.zaubacorp.com/AJAY-AGGARWAL-PROPERTIES-LLP-AAG-0314,"LGF-10, VASANT SQUARE, PLOT-A, SECTOR-B, POCKET-V, COMMUNITY CENTRE, VASANT KUNJ NEW DELHI South West Delhi DL 110090 IN",Delhi,South West Delhi,,,,,https://www.zaubacorp.com/AJAY-AGGARWAL-PROPERTIES-LLP-AAG-0314,00a3a7aa56eb68c24be41a482a2283c4,2026-05-14 07:14:25
13,U74999PN2017PTC172044,AKHEALTH BUSINESS SOLUTION PRIVATE LIMITED,Strike Off,ROC Pune,,2017-08-16,ashish.coding@gmail.com,https://www.zaubacorp.com/AKHEALTH-BUSINESS-SOLUTION-PRIVATE-LIMITED-U74999PN2017PTC172044,"FL 3, SAI PALACE, WING P-1 S NO 150/A/12 BHUSARI COL   , PUNE, Maharashtra, India - 411038",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/AKHEALTH-BUSINESS-SOLUTION-PRIVATE-LIMITED-U74999PN2017PTC172044,a251260811cac74a02f0e997f438e7e6,2026-05-14 07:18:01
20,U63040AP2002PTC039713,AL-AMAN TOURISM PRIVATE LIMITED,Active,ROC Vijayawada,,2002-10-03,alamantourism@gmail.com,https://www.zaubacorp.com/AL-AMAN-TOURISM-PRIVATE-LIMITED-U63040AP2002PTC039713,"D.No.49-55-1B, Vidyut Nagar, TPT Colony, Akkayyapalem,   , Visakhapatnam, Andhra Pradesh, India - 530016",Andhra Pradesh,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/AL-AMAN-TOURISM-PRIVATE-LIMITED-U63040AP2002PTC039713,f965a02f14ea77a9f0b7a498eeed1722,2026-05-14 07:21:10
45,U51909UP2021PTC144433,ALHAMD EXIM PRIVATE LIMITED,Active,ROC Kanpur,,2021-03-30,khanamaan596@gmail.com,https://www.zaubacorp.com/ALHAMD-EXIM-PRIVATE-LIMITED-U51909UP2021PTC144433,"MOHALLA SIKRI GATE,15, ALHAMD EXIM PVT. LIMITED SEEKRI GATE TEHSIL CHANDAUSI, SAMBHAL   , SAMBHAL, Uttar Pradesh, India - 244412",Uttar Pradesh,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/ALHAMD-EXIM-PRIVATE-LIMITED-U51909UP2021PTC144433,c2cb13448c104f8370a42efad5101d02,2026-05-14 07:29:44
16,U74110GJ1980PTC003888,ANANYA INVESTMENTS PRIVATE LIMITED,Converted to LLP,ROC Ahmedabad,,1980-08-23,kunjangandhi@hotmail.com,https://www.zaubacorp.com/ANANYA-INVESTMENTS-PRIVATE-LIMITED-U74110GJ1980PTC003888,"C/o- Bharti Dhanesh Shah, 4/2/C, Centre Point, Panchvati Corner, Ambawadi   , Ahmedabad, Gujarat, India - 380006",Gujarat,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/ANANYA-INVESTMENTS-PRIVATE-LIMITED-U65990GJ1980PTC003888,d4ee31232724fc4243bc2b61d9ba4ebd,2026-05-14 07:20:43
5,AAF-9145,ARMADILLO REALTY LLP,,RoC-Mumbai,45,2016-03-11,hsecretarial@rediffmail.com,https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,"514 Dalamal Towers, 211 FPJ Marg, Nariman Point, Mumbai MUMBAI Mumbai City MH 400021 IN",Maharashtra,MUMBAI Mumbai City,,,,,https://www.zaubacorp.com/ARMADILLO-REALTY-LLP-AAF-9145,3bdaad7e3f54e1f36b7107d0125dbd2f,2026-05-14 07:14:20
19,U40108DL2004PTC125750,ASPIRE POWER PROJECTS PRIVATE LIMITED,Active,ROC Jharkhand,,2004-04-12,VINAYVIBHAKAR@YAHOO.COM,https://www.zaubacorp.com/ASPIRE-POWER-PROJECTS-PRIVATE-LIMITED-U40108DL2004PTC125750,"97/D, NEAR HOLY CROSS SCHOOL, BARDMAN COMPOUND LALPUR,   , RANCHI, Jharkhand, India - 834001",Jharkhand,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/ASPIRE-POWER-PROJECTS-PRIVATE-LIMITED-U40108DL2004PTC125750,e162e62be026a22f72cd1531892e646b,2026-05-14 07:21:03
7,AAG-4170,BEFREE BUSINESS RESOURCING LLP,,RoC-Ahmedabad,74,2016-05-20,jigneshk@befree.com.au,https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,"SWASTIK COMPLEX, 21/22, 1ST FLOOR, TOWER CHOWK, S. T. ROAD, VERAVAL Junagadh GJ 362265 IN",Gujarat,"ROAD, VERAVAL Junagadh",,,,,https://www.zaubacorp.com/BEFREE-BUSINESS-RESOURCING-LLP-AAG-4170,532c9d9c8cec63c227b165ed75de1912,2026-05-14 07:16:58
15,U15100MH2003PTC139929,BLUE CIRCLE ORGANICS PRIVATE LIMITED,Amalgamated,ROC Mumbai,,2003-04-07,organics@bluecircle.net.in,https://www.zaubacorp.com/BLUE-CIRCLE-ORGANICS-PRIVATE-LIMITED-U15100MH2003PTC139929,"34 EMPIRE BUILDING1ST FLOOR D N ROAD 146 FORT   , MUMBAI, Maharashtra, India - 400001",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/BLUE-CIRCLE-ORGANICS-PRIVATE-LIMITED-U24299MH2003PTC139929,1c9971c1c4e85b188120bd7396e98efd,2026-05-14 07:20:12
47,U70101WB2006PTC108817,CHANDRA AWAS PRIVATE LIMITED,Active,ROC Kolkata,,2006-03-31,capl.jsr@gmail.com,https://www.zaubacorp.com/CHANDRA-AWAS-PRIVATE-LIMITED-U70101WB2006PTC108817,"C/O Anil Baran Dewanjee, F-27, School Road, Sodepur   , Kolkata, West Bengal, India - 700110",West Bengal,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/CHANDRA-AWAS-PRIVATE-LIMITED-U70101WB2006PTC108817,1fac34cd1092cab16f5dd2a45fbaea17,2026-05-14 07:29:51
32,U65910KA1993PTC014121,COSMO SUPER FINANCE PRIVATE LIMITED,Strike Off,ROC Bangalore,,1993-03-19,,https://www.zaubacorp.com/COSMO-SUPER-FINANCE-PRIVATE-LIMITED-U65910KA1993PTC014121,"9/1 MAZZINE FLOOR,8TH MAINROAD,DEVANGA HOSTEL ROAD SAMBANKIRAMA NAGAR,BANGALORE   , NA, Karnataka, India - 000000",Karnataka,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/COSMO-SUPER-FINANCE-PRIVATE-LIMITED-U65910KA1993PTC014121,2e6248c91c13edaa2c0751949bb589d2,2026-05-14 07:23:04
1,,Company search results - SIS MERCHANTILE INDIA LLP,,,,,,,,,,,,,,https://www.zaubacorp.com/SIS-MERCHANTILE-INDIA-LLP-AAG-4211,0c8ae7095831f699a59401956a9461b6,2026-05-13 20:02:01
33,U67120MH1991PTC061744,DHYAN INVESTMENTS AND TRADING COMPANY PRIVATE LIMITED,Active,ROC Mumbai,,1991-05-17,dsplmca3@servicesnext.com,https://www.zaubacorp.com/DHYAN-INVESTMENTS-AND-TRADING-COMPANY-PRIVATE-LIMITED-U67120MH1991PTC061744,"10 TH FL TULSIANI CHAMBERS212 NARIMAN POINT   , MUMBAI, Maharashtra, India - 400021",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/DHYAN-INVESTMENTS-AND-TRADING-COMPANY-PRIVATE-LIMITED-U67120MH1991PTC061744,f928003e6674ffa1c6a45db3b1da3638,2026-05-14 07:23:12
